정류소ID,업체명,노선번호,노선유형,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,정류장유형,환승역타입,위치(동),쉘터,BIS설치여부,LED,LCD,LED+LCD복합형,알뜰형,임대형(음성),lon,lat,정류소/정류장명,TMST_00,TMST_01,TMST_02,TMST_03,TMST_04,TMST_05,TMST_06,TMST_07,TMST_08,TMST_09,TMST_10,TMST_11,TMST_12,TMST_13,TMST_14,TMST_15,TMST_16,TMST_17,TMST_18,TMST_19,TMST_20,TMST_21,TMST_22,TMST_23
200000042,수원여객,64,일반형시내버스,37,32,5,720,720,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9853388,37.31403084,이목동.장안힐스테이트,136.33999999999995,94.36,65.41999999999999,54.56,55.7,95.71,221.62,596.5799999999999,763.0300000000001,491.03,466.74,507.18,597.4,595.8499999999999,565.28,594.26,655.8,707.85,776.85,663.3,493.71,408.04,331.79,205.65
200000042,용남고속,92,일반형시내버스,10,10,0,145,145,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9853388,37.31403084,이목동.장안힐스테이트,136.33999999999995,94.36,65.41999999999999,54.56,55.7,95.71,221.62,596.5799999999999,763.0300000000001,491.03,466.74,507.18,597.4,595.8499999999999,565.28,594.26,655.8,707.85,776.85,663.3,493.71,408.04,331.79,205.65
200000067,남양여객,50_2,일반형시내버스,169,162,7,0,0,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0300242,37.29824017,연무동차고지,155.0,116.0,90.0,79.0,87.0,140.0,233.0,452.0,601.0,621.0,659.0,686.0,709.0,736.0,735.0,738.0,738.0,738.0,687.0,577.0,477.0,433.0,370.0,249.0
200000067,남양여객,11,일반형시내버스,3713,3640,73,32,32,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0300242,37.29824017,연무동차고지,155.0,116.0,90.0,79.0,87.0,140.0,233.0,452.0,601.0,621.0,659.0,686.0,709.0,736.0,735.0,738.0,738.0,738.0,687.0,577.0,477.0,433.0,370.0,249.0
200000067,수원여객,16,일반형시내버스,4499,4332,167,191,191,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0300242,37.29824017,연무동차고지,155.04999999999998,116.53,90.4,79.02,87.78,140.33,233.47,452.44,601.1,621.23,659.84,686.9399999999999,709.38,736.61,735.53,738.8600000000001,738.5799999999999,738.4200000000001,687.97,577.07,477.36,433.08,370.91,249.44
200000073,삼경운수(주),2007,직행좌석형시내버스,1923,1239,684,3859,3859,0,"시내,시외",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9890727,37.31248317,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,215.0,163.0,102.0,89.0,100.0,203.0,411.0,897.0,1079.0,755.0,704.0,775.0,874.0,861.0,811.0,817.0,883.0,1002.0,1178.0,967.0,722.0,586.0,478.0,321.0
200000073,경기고속,8401,직행좌석형시내버스,156,115,41,7035,7035,0,"시내,시외",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9890727,37.31248317,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,215.0,163.0,102.0,89.0,100.0,203.0,411.0,897.0,1079.0,755.0,704.0,775.0,874.0,861.0,811.0,817.0,883.0,1002.0,1178.0,967.0,722.0,586.0,478.0,321.0
200000073,수원여객,25,일반형시내버스,1356,893,463,35,35,0,"시내,시외",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9890727,37.31248317,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,215.77,163.46,102.62,89.25,100.97,203.84,411.81,897.2700000000001,1079.29,755.39,704.58,775.62,874.75,861.41,811.08,817.9300000000001,883.16,1002.15,1178.74,967.99,722.4200000000001,586.0999999999999,478.29,321.72
200000074,삼경운수(주),2007,직행좌석형시내버스,602,466,136,388,388,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9883353,37.31877088,지지대교차로,445.0,294.0,211.0,196.0,271.0,679.0,1482.0,2267.0,2452.0,2003.0,2009.0,2045.0,2100.0,2135.0,2127.0,2142.0,2271.0,2478.0,2633.0,2197.0,1644.0,1351.0,1029.0,713.0
200000074,수원여객,25,일반형시내버스,47,43,4,303,303,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9883353,37.31877088,지지대교차로,445.77,294.52,211.5,196.12,271.71000000000004,679.32,1482.14,2267.57,2452.96,2003.88,2009.59,2045.25,2100.04,2135.09,2127.07,2142.29,2271.98,2478.91,2633.06,2197.6800000000003,1644.84,1351.52,1029.27,713.53
200000075,삼경운수(주),2007,직행좌석형시내버스,3942,3688,254,2565,2565,0,"시내,시외",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9903458,37.31159184,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,87.0,72.0,50.0,44.0,49.0,100.0,188.0,462.0,588.0,387.0,347.0,385.0,446.0,435.0,402.0,404.0,436.0,487.0,586.0,463.0,345.0,277.0,224.0,127.0
200000075,경기고속,8401,직행좌석형시내버스,7729,7353,376,308,308,0,"시내,시외",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9903458,37.31159184,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,87.0,72.0,50.0,44.0,49.0,100.0,188.0,462.0,588.0,387.0,347.0,385.0,446.0,435.0,402.0,404.0,436.0,487.0,586.0,463.0,345.0,277.0,224.0,127.0
200000075,수원여객,25,일반형시내버스,159,67,92,1805,1805,0,"시내,시외",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9903458,37.31159184,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,87.94000000000001,72.94,50.94,44.55,49.74,100.93,188.59000000000003,462.71,588.59,387.62,347.65,385.41,446.45,435.56,402.78,404.78,436.05,487.46,586.18,463.68,345.98,277.91,224.84,127.57
200000077,삼경운수(주),2007,직행좌석형시내버스,2195,2063,132,3595,3595,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.997464,37.30815934,한국가스안전공사.택시공제조합,240.0,220.0,202.0,191.0,204.0,270.0,409.0,562.0,626.0,500.0,497.0,546.0,586.0,586.0,574.0,587.0,633.0,747.0,851.0,737.0,515.0,455.0,399.0,317.0
200000077,경진여객운수(주),3000,직행좌석형시내버스,4878,4780,98,235,235,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.997464,37.30815934,한국가스안전공사.택시공제조합,240.0,220.0,202.0,191.0,204.0,270.0,409.0,562.0,626.0,500.0,497.0,546.0,586.0,586.0,574.0,587.0,633.0,747.0,851.0,737.0,515.0,455.0,399.0,317.0
200000077,수원여객,25,일반형시내버스,157,124,33,3779,3779,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.997464,37.30815934,한국가스안전공사.택시공제조합,240.28,220.57,202.32,191.95,204.78,270.29,409.61000000000007,562.47,626.84,500.89,497.77,546.03,586.4800000000001,586.3,574.77,587.9300000000001,633.57,747.6500000000001,851.1100000000001,737.79,515.9,455.36,399.46,317.12
200000078,삼경운수(주),2007,직행좌석형시내버스,4762,3780,982,4185,4185,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.999878,37.30709485,수일중학교,151.0,107.0,80.0,65.0,70.0,119.0,235.0,464.0,617.0,466.0,452.0,495.0,541.0,557.0,554.0,575.0,637.0,783.0,924.0,812.0,529.0,454.0,356.0,247.0
200000078,경진여객운수(주),3000,직행좌석형시내버스,7673,7082,591,218,218,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.999878,37.30709485,수일중학교,151.0,107.0,80.0,65.0,70.0,119.0,235.0,464.0,617.0,466.0,452.0,495.0,541.0,557.0,554.0,575.0,637.0,783.0,924.0,812.0,529.0,454.0,356.0,247.0
200000078,수원여객,25,일반형시내버스,376,283,93,6081,6081,0,시내,일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.999878,37.30709485,수일중학교,151.99,107.37,80.58,65.08,70.74000000000001,119.81,235.76,464.77,617.4100000000001,466.78,452.69,495.8200000000001,541.5699999999999,557.9200000000001,554.63,575.43,637.19,783.5699999999999,924.47,812.1700000000001,529.47,454.64,356.02,247.27
200000079,삼경운수(주),2007,직행좌석형시내버스,3334,3032,302,3520,3520,0,시내,일반,경기도 수원시 송죽동,1.0,1.0,,,1.0,,,127.002598,37.30585347,수일여중.대우건설기술연구원.경기도융합과학교육원,270.0,183.0,146.0,117.0,124.0,191.0,357.0,610.0,888.0,804.0,799.0,864.0,933.0,952.0,967.0,1013.0,1100.0,1257.0,1351.0,1221.0,942.0,778.0,649.0,430.0
200000079,경진여객운수(주),3000,직행좌석형시내버스,5752,5586,166,279,279,0,시내,일반,경기도 수원시 송죽동,1.0,1.0,,,1.0,,,127.002598,37.30585347,수일여중.대우건설기술연구원.경기도융합과학교육원,270.0,183.0,146.0,117.0,124.0,191.0,357.0,610.0,888.0,804.0,799.0,864.0,933.0,952.0,967.0,1013.0,1100.0,1257.0,1351.0,1221.0,942.0,778.0,649.0,430.0
200000079,수원여객,25,일반형시내버스,192,147,45,2089,2089,0,시내,일반,경기도 수원시 송죽동,1.0,1.0,,,1.0,,,127.002598,37.30585347,수일여중.대우건설기술연구원.경기도융합과학교육원,270.09000000000003,183.48,146.44000000000003,117.35,124.19,191.26,357.9,610.01,888.7099999999999,804.37,799.63,864.3299999999999,933.95,952.88,967.09,1013.67,1100.47,1257.2,1351.15,1221.4599999999998,942.12,778.95,649.77,430.2900000000001
200000080,삼경운수(주),2007,직행좌석형시내버스,17520,13493,4027,13449,13449,0,"시내,시외,공항",일반,경기도 수원시 조원2동,1.0,1.0,,,3.0,,,127.0066358,37.3034669,한일타운.경기일보.홈플러스,208.0,138.0,93.0,78.0,91.0,171.0,327.0,542.0,760.0,842.0,935.0,1036.0,1035.0,1033.0,1063.0,1088.0,1155.0,1320.0,1396.0,1211.0,903.0,715.0,549.0,343.0
200000080,경기고속,8409,경기순환버스(직행좌석형),37995,32861,5134,1084,1084,0,"시내,시외,공항",일반,경기도 수원시 조원2동,1.0,1.0,,,3.0,,,127.0066358,37.3034669,한일타운.경기일보.홈플러스,208.0,138.0,93.0,78.0,91.0,171.0,327.0,542.0,760.0,842.0,935.0,1036.0,1035.0,1033.0,1063.0,1088.0,1155.0,1320.0,1396.0,1211.0,903.0,715.0,549.0,343.0
200000080,수원여객,25,일반형시내버스,16110,13819,2291,16175,16175,0,"시내,시외,공항",일반,경기도 수원시 조원2동,1.0,1.0,,,3.0,,,127.0066358,37.3034669,한일타운.경기일보.홈플러스,208.44,138.03,93.68,78.91,91.22,171.95,327.35,542.9300000000001,760.5799999999999,842.3,935.04,1036.63,1035.5,1033.06,1063.17,1088.73,1155.98,1320.4,1396.84,1211.26,903.85,715.65,549.07,343.86
200000080,수원여객,64,일반형시내버스,25,21,4,19,19,0,"시내,시외,공항",일반,경기도 수원시 조원2동,1.0,1.0,,,3.0,,,127.0066358,37.3034669,한일타운.경기일보.홈플러스,208.44,138.03,93.68,78.91,91.22,171.95,327.35,542.9300000000001,760.5799999999999,842.3,935.04,1036.63,1035.5,1033.06,1063.17,1088.73,1155.98,1320.4,1396.84,1211.26,903.85,715.65,549.07,343.86
200000080,용남고속,99_2,일반형시내버스,3085,2714,371,4478,4478,0,"시내,시외,공항",일반,경기도 수원시 조원2동,1.0,1.0,,,3.0,,,127.0066358,37.3034669,한일타운.경기일보.홈플러스,208.44,138.03,93.68,78.91,91.22,171.95,327.35,542.9300000000001,760.5799999999999,842.3,935.04,1036.63,1035.5,1033.06,1063.17,1088.73,1155.98,1320.4,1396.84,1211.26,903.85,715.65,549.07,343.86
200000081,삼경운수(주),300,좌석형시내버스,1687,1634,53,6659,6659,0,시내,일반,경기도 수원시 조원1동,1.0,1.0,,,1.0,,,127.0103632,37.30109852,수원KT위즈파크.수원종합운동장,97.0,76.0,58.0,51.0,59.0,96.0,161.0,245.0,348.0,336.0,332.0,369.0,393.0,386.0,399.0,404.0,416.0,445.0,490.0,410.0,325.0,287.0,229.0,158.0
200000081,수원여객,16,일반형시내버스,23,11,12,36,36,0,시내,일반,경기도 수원시 조원1동,1.0,1.0,,,1.0,,,127.0103632,37.30109852,수원KT위즈파크.수원종합운동장,97.46,76.25,58.28,51.86,59.65,96.79,161.93,245.7,348.77000000000004,336.42,332.36999999999995,369.46,393.03,386.11,399.01,404.73,416.85,445.12,490.99000000000007,410.51,325.4,287.59,229.23,158.7
200000082,삼경운수(주),300,좌석형시내버스,1902,1874,28,5508,5508,0,시내,일반,경기도 수원시 조원1동,1.0,1.0,,,1.0,,,127.0151764,37.29652801,영화초등학교.한국건강관리협회,115.0,77.0,58.0,43.0,47.0,98.0,196.0,429.0,558.0,510.0,504.0,536.0,552.0,588.0,596.0,606.0,604.0,650.0,656.0,517.0,410.0,374.0,284.0,175.0
200000083,삼경운수(주),300,좌석형시내버스,3355,3000,355,4010,4010,0,시내,일반,경기도 수원시 영화동,1.0,1.0,1.0,,,,,127.0198547,37.29210989,교육청사거리,143.0,109.0,91.0,77.0,81.0,123.0,233.0,359.0,529.0,465.0,471.0,503.0,535.0,553.0,566.0,606.0,631.0,672.0,681.0,521.0,387.0,344.0,269.0,222.0
200000084,남양여객,400,일반형시내버스,2229,2055,174,1729,1729,0,"시내,마을",일반,경기도 수원시 연무동,,1.0,,,1.0,,,127.0269118,37.29158925,수원시평생학습관.연무사회복지관.창룡도서관,143.0,97.0,67.0,55.0,69.0,184.0,352.0,681.0,984.0,738.0,693.0,702.0,771.0,800.0,835.0,856.0,930.0,1011.0,1025.0,781.0,592.0,502.0,367.0,251.0
200000084,경기고속,700_2,일반형시내버스,6155,5712,443,2353,2353,0,"시내,마을",일반,경기도 수원시 연무동,,1.0,,,1.0,,,127.0269118,37.29158925,수원시평생학습관.연무사회복지관.창룡도서관,143.0,97.0,67.0,55.0,69.0,184.0,352.0,681.0,984.0,738.0,693.0,702.0,771.0,800.0,835.0,856.0,930.0,1011.0,1025.0,781.0,592.0,502.0,367.0,251.0
200000084,수원여객,2_2,일반형시내버스,209,186,23,117,117,0,"시내,마을",일반,경기도 수원시 연무동,,1.0,,,1.0,,,127.0269118,37.29158925,수원시평생학습관.연무사회복지관.창룡도서관,143.07999999999998,97.9,67.04,55.67999999999999,69.79,184.83,352.76,681.8100000000001,984.21,738.4300000000001,693.67,702.94,771.49,800.34,835.6499999999999,856.78,930.34,1011.67,1025.33,781.07,592.9499999999999,502.25,367.43,251.86
200000084,수원여객,7_2,일반형시내버스,501,447,54,205,205,0,"시내,마을",일반,경기도 수원시 연무동,,1.0,,,1.0,,,127.0269118,37.29158925,수원시평생학습관.연무사회복지관.창룡도서관,143.07999999999998,97.9,67.04,55.67999999999999,69.79,184.83,352.76,681.8100000000001,984.21,738.4300000000001,693.67,702.94,771.49,800.34,835.6499999999999,856.78,930.34,1011.67,1025.33,781.07,592.9499999999999,502.25,367.43,251.86
200000085,남양여객,50_2,일반형시내버스,132,127,5,1,1,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0298221,37.29959435,경기대수원캠퍼스입구,42.0,32.0,27.0,24.0,26.0,42.0,79.0,161.0,235.0,259.0,296.0,314.0,324.0,327.0,331.0,327.0,300.0,266.0,226.0,190.0,161.0,139.0,122.0,73.0
200000085,남양여객,11,일반형시내버스,2275,2189,86,3,3,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0298221,37.29959435,경기대수원캠퍼스입구,42.0,32.0,27.0,24.0,26.0,42.0,79.0,161.0,235.0,259.0,296.0,314.0,324.0,327.0,331.0,327.0,300.0,266.0,226.0,190.0,161.0,139.0,122.0,73.0
200000085,수원여객,16,일반형시내버스,2975,2850,125,9,9,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0298221,37.29959435,경기대수원캠퍼스입구,42.07,32.82,27.08,24.05,26.67,42.53,79.97,161.54000000000002,235.97,259.49,296.19,314.52,324.26,327.82,331.35,327.32,300.88,266.15,226.0,190.21,161.06,139.58,122.36,73.34
200000086,남양여객,50_2,일반형시내버스,24,23,1,73,73,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.02991570000002,37.29797547,연무동종점,155.0,116.0,90.0,79.0,87.0,140.0,233.0,452.0,601.0,621.0,659.0,686.0,709.0,736.0,735.0,738.0,738.0,738.0,687.0,577.0,477.0,433.0,370.0,249.0
200000086,남양여객,11,일반형시내버스,8,8,0,2302,2302,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0299157,37.29797547,연무동종점,155.0,116.0,90.0,79.0,87.0,140.0,233.0,452.0,601.0,621.0,659.0,686.0,709.0,736.0,735.0,738.0,738.0,738.0,687.0,577.0,477.0,433.0,370.0,249.0
200000086,수원여객,16,일반형시내버스,10,10,0,2616,2616,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.02991570000002,37.29797547,연무동종점,155.04999999999998,116.53,90.4,79.02,87.78,140.33,233.47,452.44,601.1,621.23,659.84,686.9399999999999,709.38,736.61,735.53,738.8600000000001,738.5799999999999,738.4200000000001,687.97,577.07,477.36,433.08,370.91,249.44
200000087,남양여객,50_2,일반형시내버스,39,39,0,207,207,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0295586,37.29978041,광교공원.경기대수원캠퍼스입구,42.0,32.0,27.0,24.0,26.0,42.0,79.0,161.0,235.0,259.0,296.0,314.0,324.0,327.0,331.0,327.0,300.0,266.0,226.0,190.0,161.0,139.0,122.0,73.0
200000087,남양여객,11,일반형시내버스,129,123,6,3481,3481,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0295586,37.29978041,광교공원.경기대수원캠퍼스입구,42.0,32.0,27.0,24.0,26.0,42.0,79.0,161.0,235.0,259.0,296.0,314.0,324.0,327.0,331.0,327.0,300.0,266.0,226.0,190.0,161.0,139.0,122.0,73.0
200000087,수원여객,16,일반형시내버스,64,60,4,4656,4656,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0295586,37.29978041,광교공원.경기대수원캠퍼스입구,42.07,32.82,27.08,24.05,26.67,42.53,79.97,161.54000000000002,235.97,259.49,296.19,314.52,324.26,327.82,331.35,327.32,300.88,266.15,226.0,190.21,161.06,139.58,122.36,73.34
200000087,용남고속,37,일반형시내버스,5,5,0,1060,1060,0,시내,일반,경기도 수원시 연무동,,,,,,,,127.0295586,37.29978041,광교공원.경기대수원캠퍼스입구,42.07,32.82,27.08,24.05,26.67,42.53,79.97,161.54000000000002,235.97,259.49,296.19,314.52,324.26,327.82,331.35,327.32,300.88,266.15,226.0,190.21,161.06,139.58,122.36,73.34
200000088,대원고속,1009,직행좌석형시내버스,51,25,26,835,835,0,"시내,마을",일반,경기도 수원시 정자2동,1.0,1.0,1.0,,,,,126.99145190000002,37.28672389,화서역.화서주공3단지,1006.0,905.0,777.0,805.0,824.0,927.0,1117.0,1208.0,1227.0,1092.0,1068.0,1105.0,1182.0,1175.0,1145.0,1159.0,1201.0,1336.0,1437.0,1414.0,1297.0,1231.0,1147.0,1087.0
200000088,수원여객,2_2,일반형시내버스,732,462,270,6076,6076,0,"시내,마을",일반,경기도 수원시 정자2동,1.0,1.0,1.0,,,,,126.99145190000002,37.28672389,화서역.화서주공3단지,1006.72,905.08,777.5799999999999,805.69,824.47,927.0,1117.0,1208.79,1227.95,1092.31,1068.47,1105.31,1182.89,1175.9299999999998,1145.4,1159.1,1201.25,1336.51,1437.14,1414.13,1297.6,1231.8,1147.28,1087.5300000000002
200000088,수원여객,92,일반형시내버스,3754,2692,1062,11530,11530,0,"시내,마을",일반,경기도 수원시 정자2동,1.0,1.0,1.0,,,,,126.99145190000002,37.28672389,화서역.화서주공3단지,1006.72,905.08,777.5799999999999,805.69,824.47,927.0,1117.0,1208.79,1227.95,1092.31,1068.47,1105.31,1182.89,1175.9299999999998,1145.4,1159.1,1201.25,1336.51,1437.14,1414.13,1297.6,1231.8,1147.28,1087.5300000000002
200000088,용남고속,92,일반형시내버스,737,510,227,2003,2003,0,"시내,마을",일반,경기도 수원시 정자2동,1.0,1.0,1.0,,,,,126.99145190000002,37.28672389,화서역.화서주공3단지,1006.72,905.08,777.5799999999999,805.69,824.47,927.0,1117.0,1208.79,1227.95,1092.31,1068.47,1105.31,1182.89,1175.9299999999998,1145.4,1159.1,1201.25,1336.51,1437.14,1414.13,1297.6,1231.8,1147.28,1087.5300000000002
200000090,대원고속,1009,직행좌석형시내버스,68,47,21,1154,1154,0,시내,일반,경기도 수원시 정자1동,1.0,1.0,1.0,,,,,126.9920636,37.29886868,풍림아파트,178.0,143.0,100.0,84.0,78.0,111.0,174.0,241.0,377.0,353.0,354.0,362.0,401.0,429.0,440.0,459.0,492.0,560.0,650.0,605.0,484.0,430.0,367.0,267.0
200000090,경진여객운수(주),7770,직행좌석형시내버스,148,118,30,6960,6960,0,시내,일반,경기도 수원시 정자1동,1.0,1.0,1.0,,,,,126.9920636,37.29886868,풍림아파트,178.0,143.0,100.0,84.0,78.0,111.0,174.0,241.0,377.0,353.0,354.0,362.0,401.0,429.0,440.0,459.0,492.0,560.0,650.0,605.0,484.0,430.0,367.0,267.0
200000090,수원여객,112,일반형시내버스,16435,13415,3020,8780,8780,0,시내,일반,경기도 수원시 정자1동,1.0,1.0,1.0,,,,,126.9920636,37.29886868,풍림아파트,178.74,143.97,100.59,84.78,78.95,111.29,174.15,241.86,377.84,353.24,354.81,362.43,401.77,429.68,440.15,459.24,492.51,560.7099999999999,650.79,605.18,484.78,430.72,367.61,267.53
200000090,수원여객,7,일반형시내버스,1472,1293,179,560,560,0,시내,일반,경기도 수원시 정자1동,1.0,1.0,1.0,,,,,126.9920636,37.29886868,풍림아파트,178.74,143.97,100.59,84.78,78.95,111.29,174.15,241.86,377.84,353.24,354.81,362.43,401.77,429.68,440.15,459.24,492.51,560.7099999999999,650.79,605.18,484.78,430.72,367.61,267.53
200000090,용남고속,99_2,일반형시내버스,1027,740,287,1552,1552,0,시내,일반,경기도 수원시 정자1동,1.0,1.0,1.0,,,,,126.9920636,37.29886868,풍림아파트,178.74,143.97,100.59,84.78,78.95,111.29,174.15,241.86,377.84,353.24,354.81,362.43,401.77,429.68,440.15,459.24,492.51,560.7099999999999,650.79,605.18,484.78,430.72,367.61,267.53
